title,detail_title,job_url,company,company_name_full,company_url,company_url_from_job,salary_list,detail_salary,address_list,detail_location,exp_list,detail_experience,deadline,tags,working_addresses,working_times,desc_mota,desc_yeucau,desc_quyenloi,company_website,company_size,company_industry,company_address,company_description
Backend Developer,Backend Developer,https://careerviet.vn/vi/tim-viec-lam/backend-developer.35C54CAF.html,,Nova Service Group - Công ty Cổ phần Tập đoàn Nova Services,https://careerviet.vn/vi/nha-tuyen-dung/nova-service-group-cong-ty-co-phan-tap-doan-nova-services.35AA0C05.html,https://careerviet.vn/vi/nha-tuyen-dung/nova-service-group-cong-ty-co-phan-tap-doan-nova-services.35AA0C05.html,Lương: Cạnh tranh,,Hồ Chí Minh,,,,,backend developer; lập trình; software engineer; .net developer; java developer; nodejs developer,,,"Phát triển, tối ưu và bảo trì hệ thống backend của công ty Xây dựng các API hiệu suất cao, bảo mật và có khả năng mở rộng. Thiết kế API (RESTful, GraphQL, gRPC) và tích hợp với các dịch vụ bên thứ ba Làm việc với các hệ quản trị cơ sở dữ liệu như MySQL, PostgreSQL, MongoDB, SQL Server … Làm việc với cơ sở dữ liệu (SQL/NoSQL) và hệ thống caching. MongoDB, Redis (caching), Cassandra Tối ưu hiệu suất, bảo mật và đảm bảo tính toàn vẹn của dữ liệu Hợp tác với các team frontend, QA và DevOps để triển khai, kiểm thử và vận hành hệ thống. Giám sát, debug và khắc phục sự cố hệ thống. Viết mã code sạch, có khả năng mở rộng và bảo trì tốt theo best practices Áp dụng CI/CD để tự động hóa quá trình phát triển và triển khai sản phẩm. Làm việc với Git (GitHub/GitLab/Bitbucket) để quản lý source code. Tuân thủ/Phối hợp công việc chuyên môn Quản lý kết quả và báo cáo Thực hiện các công việc do lãnh đạo phân công ngoài JD, Kế hoạch",- Có từ 2 năm kinh nghiệm trở lên trong lĩnh vực phát triển backend.,Laptop Chế độ bảo hiểm Phụ cấp Chế độ thưởng Chăm sóc sức khỏe Công tác phí Nghỉ phép năm,,,,,
Backend Developer - Junior,Backend Developer - Junior,https://careerviet.vn/vi/tim-viec-lam/backend-developer-junior.35C57D78.html,,Công ty Fastboy Marketing (Công ty TNHH DV Lam Nguyễn),https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-fastboy-marketing-cong-ty-tnhh-dv-lam-nguyen.35A88F16.html,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-fastboy-marketing-cong-ty-tnhh-dv-lam-nguyen.35A88F16.html,Lương: 10 Tr - 13 Tr VND,,Hồ Chí Minh,,,,,backend developer - junior; lập trình,,,"Tham gia phát triển và bảo trì hệ thống backend sử dụng GraphQL với Hasura và PHP Hỗ trợ xây dựng và kiểm tra các schema GraphQL trên Hasura , tích hợp với cơ sở dữ liệu PostgreSQL . Tích hợp Hasura với hệ thống viết bằng PHP để xử lý các yêu cầu từ Forntend Thực hiện các nhiệm vụ debug và hỗ trợ tối ưu hóa hiệu năng truy vấn GraphQL . Làm việc cùng đội frontend để phát triển API đáp ứng nhu cầu người dùng. Đảm bảo hệ thống backend đạt các tiêu chuẩn về bảo mật, hiệu năng và khả năng mở rộng. Học hỏi và phối hợp với các đội frontend để phát triển các API đáp ứng nhu cầu người dùng.",​,Chế độ bảo hiểm Du Lịch Chế độ thưởng Chăm sóc sức khỏe Đào tạo Tăng lương,,,,,
Junior Backend Engineer,Junior Backend Engineer,https://careerviet.vn/vi/tim-viec-lam/junior-backend-engineer.35C571A8.html,,"Viet Thai International Tuyển Dụng, Việc Làm Mới Nhất - CareerViet.vn",https://careerviet.vn/vi/nha-tuyen-dung/viet-thai-international.35A4F4B4.html,https://careerviet.vn/vi/nha-tuyen-dung/viet-thai-international.35A4F4B4.html,Lương: Cạnh tranh,,Hồ Chí Minh,,,,,junior backend engineer; golang; python; php; nodejs; developer; back-end; fullstack,,,Summary,What Weʼre Looking For,Laptop Chế độ bảo hiểm Phụ cấp Chế độ thưởng Chăm sóc sức khỏe Đào tạo Tăng lương Nghỉ phép năm,,| Loại hình hoạt động: Cổ phần,,,
Chuyên viên Lập trình Backend,Chuyên viên Lập trình Backend,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-lap-trinh-backend.35C538DC.html,,Công ty Cổ phần Tập đoàn Meey Land,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-tap-doan-meey-land.35A8A1C3.html,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-tap-doan-meey-land.35A8A1C3.html,Lương: 20 Tr - 40 Tr VND,,Hà Nội,,,,,chuyên viên lập trình backend; lập trình viên; web developer; web programmer,,,"Thiết kế, phát triển và bảo trì hệ thống API, web service phục vụ Frontend/Mobile App Phân tích yêu cầu, xây dựng kiến thức hệ thống logic phá sercer Quản lý cơ sở dữ liệu: Thiết kế schema, tối ưu truy vấn, backup định kỳ Tối ưu hiệu suất, bảo mật hệ thống Backend Tích hợp các dịch vụ bên ngoài: Thanh toán, email, lưu trữu đám mây… Hợp tác chặt chẽ với đội UI/UX, Frontend để đảm bảo sản phẩm đồng bộ Sữa lỗi (debug), cải tiến và nâng cấp hệ thống theo yêu cầu Viết tài liệu kỹ thuật liên quan đến Backend và API",Trình độ đại học: Tốt nghiệp Đại học,Chế độ bảo hiểm Du Lịch Phụ cấp Đồng phục Chế độ thưởng Chăm sóc sức khỏe Đào tạo Tăng lương Nghỉ phép năm CLB thể thao,,,,,
Java Backend Engineer,Java Backend Engineer,https://careerviet.vn/vi/tim-viec-lam/java-backend-engineer.35C57A40.html,,CÔNG TY TNHH JOB HOUSE,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-job-house.35A99F9E.html,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-job-house.35A99F9E.html,Lương: 15 Tr - 40 Tr VND,,Hà Nội,,,,,java backend engineer; developers; lập trình; java; java developer; backend; aws,,,Chi tiết công việc,"Proficiency in Java for backend development Foundational knowledge of AWS (Amazon Web Services) is a strong advantage Solid understanding of system architecture, APIs, databases, and software development processes Strong teamwork skills, logical thinking, and effective problem-solving abilities Preferably experienced in large-scale systems or high-volume transaction platforms",Chế độ bảo hiểm Du Lịch Phụ cấp Chế độ thưởng Chăm sóc sức khỏe Đào tạo Tăng lương Phụ cấp thâm niên Nghỉ phép năm,,,,,
Backend Developer (Java),Backend Developer (Java),https://careerviet.vn/vi/tim-viec-lam/backend-developer-java.35C47E2F.html,,Ngân hàng TMCP Phát triển TP.HCM (HDBank),https://careerviet.vn/vi/nha-tuyen-dung/ngan-hang-tmcp-phat-trien-tp-hcm-hdbank.35A58049.html,https://careerviet.vn/vi/nha-tuyen-dung/ngan-hang-tmcp-phat-trien-tp-hcm-hdbank.35A58049.html,"Lương: 900 - 1,200 USD",,Hồ Chí Minh,,,,,,,,Mục đích công việc : - Phát triển các nội dung xử lý phía back-end theo yêu cầu dự án - Phát triển API kết nối với front-end hay đối tác - Đảm bảo các tiêu chuẩn bảo mật và mã hóa - Tuân thủ quy trình/quy định của HDBank,"- Thành thạo với ngôn ngữ lập trình .Net/Java - Có kinh nghiệm về PL/SQL - Có kinh nghiệm phát triển API Web Services, tương tác với API và sử dụng thành thạo các công cụ lập trình như Eclipse, Netbean - Thành thạo về Java core Back-End, xử lý tốt Multithread (Xử lý tối thiểu 1000-2000 giao dịch cùng lúc), Multi-processing, cơ chế Hash table, cơ chế xử lý file. - Có kinh nghiệm về các tiêu chuẩn bảo mật - Thành thạo việc thiết kế CSDL trên DB Oracle, MS SQL … - Có kinh nghiệm làm việc với các hệ điều hành Enterprise Linux, HP-UX - Có kinh nghiệm về SVN, GIT, Jira; - Có kinh nghiệm với các quy tắc thiết kế OOP; - Có kinh nghiệm về các dự án ESB, Open API - Có hiểu biết về Docker và Microservices, MQ, cache...,mockup API",Laptop Chế độ bảo hiểm Du Lịch Phụ cấp Đồng phục Chế độ thưởng Chăm sóc sức khỏe Đào tạo Tăng lương Công tác phí Nghỉ phép năm CLB thể thao,,,,,
Trưởng bộ phận Phần mềm hệ thống (Backend),Trưởng bộ phận Phần mềm hệ thống (Backend),https://careerviet.vn/vi/tim-viec-lam/truong-bo-phan-phan-mem-he-thong-backend.35C56F0F.html,,Tập Đoàn Karofi Holding,https://careerviet.vn/vi/nha-tuyen-dung/tap-doan-karofi-holding.35A6682E.html,https://careerviet.vn/vi/nha-tuyen-dung/tap-doan-karofi-holding.35A6682E.html,Lương: 30 Tr - 40 Tr VND,,Hà Nội,,,,,Trưởng bộ phận Phần mềm hệ thống Backend,,,Mô tả công việc:,Yêu cầu:,Laptop Chế độ bảo hiểm Du Lịch Phụ cấp Đồng phục Chế độ thưởng Tăng lương Công tác phí Phụ cấp thâm niên Nghỉ phép năm,,,,,
Java Backend,Java Backend,https://careerviet.vn/vi/tim-viec-lam/java-backend.35C5277F.html,,CÔNG TY CỔ PHẦN CHỨNG KHOÁN ASEAN,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-chung-khoan-asean.35A95F80.html,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-chung-khoan-asean.35A95F80.html,Lương: Cạnh tranh,,Hà Nội,,,,,,,,"Thực hiện quy hoạch và phát triển Backend cho hệ thống nền tảng và các sản phẩm, dịch vụ ngân hàng số. Tuân theo các tiêu chuẩn thiết kế, tiêu chuẩn mã nguồn, đảm bảo khả năng kiểm thử, bảo mật và hiệu năng cao cho hệ thống. Phối hợp với team UI/UX, BA, Front End,... triển khai dự án đảm bảo các yêu cầu về chất lượng, tiến độ. Thực hiện Unit Test. Hỗ trợ kiểm thử SIT/UAT, sửa lỗi và nghiệm thu chức năng. Review code, quản lý merge code, hỗ trợ kỹ thuật và đào tạo các thành viên trong dự án. Xây dựng tài liệu kỹ thuật, tài liệu hướng dẫn triển khai hệ thống.","Bằng cấp: Đại học chuyên ngành Công nghệ thông tin. Kinh nghiệm: có kinh nghiệm trong lĩnh vực phát triển phần mềm trong lĩnh vực Tài chính, Ngân hàng (2 năm kinh nghiệm trở lên) Thành thạo lập trình hướng đối tượng Java (2 năm kinh nghiệm trở lên) Có kinh nghiệm làm việc với Spring Boot, Maven, Kafka Có kinh nghiệm thiết kế và phát triển RESTful API, SOAP Hiểu biết về kiến trúc Microservice (MSA), SOA, Event-Driven Architecture (EDA) Có kinh nghiệm cơ sở dữ liệu Oracle, Postgre, Redis Nắm vững kiến thức về cấu trúc dữ liệu và giải thuật. Sử dụng thành thạo các công cụ quản lý code SVN, Github. Hiểu biết và có kinh nghiệm thực tế với DevOps, CI/CD, Container, Docker, k8s Nhiệt tình, trách nhiệm với công việc Có kỹ năng tư duy chiến lược, phân tích, xây dựng quy trình, sản phẩm công nghệ số Có khả năng làm việc độc lập, làm việc nhóm, chịu được áp lực cao. Có khả năng tư duy logic, nghiên cứu công nghệ mới Hiểu biết về Agile/Scrum",Chế độ bảo hiểm Du Lịch Phụ cấp Du lịch nước ngoài Đồng phục Chế độ thưởng Chăm sóc sức khỏe Đào tạo Tăng lương Công tác phí Phụ cấp thâm niên Nghỉ phép năm CLB thể thao,,,,,
Lập trình viên Backend Node.js,Lập trình viên Backend Node.js,https://careerviet.vn/vi/tim-viec-lam/lap-trinh-vien-backend-node-js.35C579EB.html,,CÔNG TY CỔ PHẦN ONEFIN VIỆT NAM,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-onefin-viet-nam.35A9C732.html,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-onefin-viet-nam.35A9C732.html,Lương: Cạnh tranh,,Hồ Chí Minh,,,,,lập trình viên backend node.js; software engineer; kỹ sư software; nhân viên lập trình; chuyên viên lập trình; kỹ sư lập trình; kỹ sư phần mềm,,,Chúng tôi đang tìm kiếm một Lập trình viên Backend Node.js có kinh nghiệm để tham gia vào đội ngũ phát triển các sản phẩm tài chính và thanh toán của công ty. Vai trò của bạn sẽ bao gồm:,"Có từ 2-3 năm kinh nghiệm làm việc chuyên sâu với Node.js và các framework liên quan (Express.js, NestJS). Nắm vững JavaScript (ES6+) và/hoặc TypeScript. Hiểu biết sâu sắc về RESTful API, Webhook và các nguyên tắc thiết kế API. Kinh nghiệm làm việc với cả CSDL SQL (PostgreSQL, MySQL) và NoSQL (MongoDB, Redis). Hiểu rõ về lập trình bất đồng bộ (Asynchronous Programming) trong Node.js (Promises, async/await). Sử dụng thành thạo công cụ quản lý mã nguồn Git. Tư duy logic tốt, khả năng phân tích và giải quyết vấn đề phức tạp. Tốt nghiệp Cao đẳng/Đại học chuyên ngành CNTT hoặc các ngành liên quan là một lợi thế.",Chế độ bảo hiểm Du Lịch Chế độ thưởng Chăm sóc sức khỏe Đào tạo Tăng lương,,,,,
Chuyên viên Công nghệ thông tin (backend),Chuyên viên Công nghệ thông tin (backend),https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-cong-nghe-thong-tin-backend.35C55681.html,,Hệ thống Vĩnh Tân,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-thuc-pham-vinh-tan.35A78F1A.html,https://careerviet.vn/vi/nha-tuyen-dung/he-thong-vinh-tan.35A78F1A.html,Lương: 12 Tr - 16 Tr VND,,Hồ Chí Minh,,,,,chuyên viên công nghệ thông tin backend; nhân viên công nghệ thông tin; nhân viên kỹ thuật cntt; kỹ thuật viên; technician; kỹ sư công nghệ thông tin; it engineer; information technology engineer; kỹ sư cntt,,,"Xây dựng API, Service cho ứng dụng web/desktop app trên nền tảng Node.JS framework Nest.JS theo yêu cầu của dự án Phối hợp với bộ phận frontend developer và các bên liên quan để thực hiện yêu cầu của dự án Tham gia thiết kế kiến trúc phần mềm và cấu trúc dữ liệu Tối ưu hóa database để xử lý dữ liệu lớn. Viết tài liệu API, unit test Hỗ trợ phát triển hoặc chỉnh sửa một số tính năng frontend bằng React khi cần.","Tốt nghiệp Đại học các chuyên ngành: Công nghệ thông tin, Khoa học máy tính, Điện tử viễn thông, Công nghệ phần mềm, Hệ thống thông tin.... Nắm vững kiến thức NestJS, thành thạo TypeScript.",Laptop Chế độ bảo hiểm Du Lịch Đồng phục Chế độ thưởng Chăm sóc sức khỏe Đào tạo Tăng lương Nghỉ phép năm,,,,,
Software Developer - Chuyên Backend,Software Developer - Chuyên Backend,https://careerviet.vn/vi/tim-viec-lam/software-developer-chuyen-backend.35C4F781.html,,BỆNH VIỆN ĐA KHOA PHƯƠNG ĐÔNG,https://careerviet.vn/vi/nha-tuyen-dung/benh-vien-da-khoa-phuong-dong.35A8D9F6.html,https://careerviet.vn/vi/nha-tuyen-dung/benh-vien-da-khoa-phuong-dong.35A8D9F6.html,Lương: 15 Tr - 25 Tr VND,,Hà Nội,,,,,software developer - chuyên backend; lập trình viên; frontend developer; web developer; game developer; advert developer,,,"Thiết kế, phát triển và duy trì các dịch vụ phụ trợ bằng Laravel và ecosystem của Laravel . Tối ưu hóa truy vấn cơ sở dữ liệu để đảm bảo hiệu suất và khả năng mở rộng của hệ thống. Triển khai và duy trì API RESTful cho giao diện người dùng và tích hợp của bên thứ ba. Đảm bảo các biện pháp bảo mật tốt nhất được tuân thủ trong hoạt động API và cơ sở dữ liệu.",1. Bắt buộc,Laptop Chế độ bảo hiểm Du Lịch Phụ cấp Chế độ thưởng Chăm sóc sức khỏe Đào tạo Tăng lương Phụ cấp thâm niên Nghỉ phép năm CLB thể thao,,,,,
Senior Backend Developer (Java),Senior Backend Developer (Java),https://careerviet.vn/vi/tim-viec-lam/senior-backend-developer-java.35C50052.html,,"HD SAISON Finance Co., Ltd",https://careerviet.vn/vi/nha-tuyen-dung/hd-saison-finance-co-ltd.35A6DA73.html,https://careerviet.vn/vi/nha-tuyen-dung/hd-saison-finance-co-ltd.35A6DA73.html,Lương: Cạnh tranh,,Hồ Chí Minh,,,,,senior backend developer java; lập trình; java 8+; linux os; chuyên viên công nghệ thông tin phần mềm; công nghệ thông tin; chuyên viên công nghệ thông tin,,,"Lập trình, phát triển các hệ thống, ứng dụng của công ty. Quản lý, phát triển dịch vụ tích hợp với các hệ thống core và các nhà cung cấp khác. Quản lý, phát triển API trên API Gateway phục vụ tích hợp với các đối tác. Nghiên cứu, thử nghiệm, triển khai áp dụng các xu hướng công nghệ mới. Duy trì hoạt động của các sản phẩm dịch vụ trong phạm vi quản lý. Tham gia phân tích nghiệp vụ, đề xuất giải pháp, phương án triển khai nhằm cải tiến, nâng cao hiệu quả của các dự án trong quá trình làm việc.","1. Trình độ học vấn: Tốt nghiệp Cao đẳng trở lên, chuyên ngành Khoa học máy tính, Công nghệ thông tin, Toán – Tin học.",Laptop Chế độ bảo hiểm Du Lịch Phụ cấp Chế độ thưởng Chăm sóc sức khỏe Đào tạo Tăng lương Nghỉ phép năm,,,,,
